诺基亚X71	黑色	157	76	180	unknown	双卡双待单通		64GB	6GB	6.39 英寸	2310x1080	unknown		unknown	3500	3.5mm	Type-C

5--->太空黑	6GB+128GB	2019-04-21 21:55--->很赞，很喜欢。手感很棒。物流速度超级快，赞一个。当天下单，当天收到。手机拿到手感很不错，外形100分，即使不喜欢金属条框，也中意这款手机。给安排了手机壳，简直完美。用了几天来评价，速度很流畅，我不玩游戏。就正常通话，~，~~类，电池可以用一天，还不错。手机没有发热卡顿的现象~总体来说就是四个字：爱不释手。
5--->太空黑	6GB+64GB	2019-04-17 19:47--->手感不错，照相效果很好。手机大小比我想象的要小，正合我意。
5--->太空黑	6GB+64GB	x71	2019-06-03 20:55--->诺基亚工业设计的确很?，配色低调大方，贴膜的靓女还问这是什么机，感觉好重，信息量大啊，都不懂该怎么回话……嘿嘿～手机质感不错，适合男性用，拍照细节表现很好，屏幕细腻不刺眼，1999值了，物流小哥服务给力，下雨也送上门，?一个
5--->沁夜黑	6GB+128GB	官方标配	2018-10-28 12:08--->外观好看漂亮，绝对5分，为情怀买单关注很久了，想等6-64配置的等不及了。实际使用效果还没用
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-20 20:46--->诺基亚是个老牌子了，经过对比，还是买了这款手机，对得起这个牌子，使用的很好，继续支持
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-22 20:17--->本来计划前期买X6呢，不过最后看到X7上市了，看了好长时间心动了，正好感恩节到了，买了送给老爸的，用起来各方面都非常流畅！同样价位的手机里面 诺基亚X7这些配置已经算是佼佼者了！相信京东、相信诺基亚
5--->太空黑	6GB+64GB	x71	2019-05-02 20:44--->实际使用体验：手机颜值还是很高了，前后都是镜面但屏幕无指纹 金色线条和logo很有高档的感觉 ，两条平行的装饰金线使机身显得很薄。全面屏确实很漂亮，色彩逼真。照相功能应该很强大。但菜单设计不人性化，使用感到不方便，很多功能没考虑到 ：扫一扫，GPS，USB，定时开关机都没有专门设计菜单。价格却比国外手机贵不少。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-23 19:48--->刚刚拿到手还有点不适用，用了一下午感觉非常好，久违的感觉，这个价位的手机真的很好
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-01 21:18--->很好啊很不错，很好用，很给力，很满意，很迅速，很持久
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-19 12:42--->手机反应快 流畅 挺喜欢包装真的不怎么样！！敷衍了事物流快递真的快先用着吧！
5--->太空黑	6GB+64GB	x71	2019-06-05 21:43--->给妈妈送的礼物，外观超漂亮，本来买了别的都退掉了，还是对这个念念不忘
5--->沁夜黑	6GB+128GB	官方标配	2018-12-20 20:52--->充电速度挺快的 电池用的时间也很长 像素也很不错 挺满意的
5--->暮夜红	6GB+128GB	官方标配	2018-11-03 14:28--->货物收到，系统干净没有太多多余的软件，做工精细，灵敏度特好这是我用诺基亚7拍摄我的诺基亚 X7
5--->暗夜蓝	6GB+128GB	官方标配	2018-12-27 17:49--->诺基亚！一个久违的名字了，真心的很好，很不错的一个大哥大！到手摆弄了半天简直让人爱不释手，速度也很快，看视频玩游戏一点没有卡顿的问题！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-31 08:10--->哈哈哈哈哈哈哈哈，重新用回诺基亚爽歪歪，质量不错哟，安卓很原生
5--->暗夜蓝	6GB+64GB	官方标配	2019-03-28 11:49--->有三点赞，第一点。手机外观很漂亮。耐用。第二节。手机系统是原生态的，使用起来很快捷。比起我用的其他手机。我用的小米，华为，夏普都远远不如她联想，乐视还有索尼都不如他，用一段时间，同样的应用程序，它还是很快，这是一个最大的特点。和优点。第三点，手机的照相也过得硬。出去游玩，用一个手机就可以照了很多好看的照片。
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-24 09:01--->诺基亚手机还是很喜欢的，算是对青春的怀念吧，第一时间就抢购了，做工真心不错，性能对不玩游戏的我足够了，拍照一如既往的厉害呀！
5--->幻夜银	6GB+64GB	官方标配	2018-12-03 09:40--->比别的颜色便宜两百选的银色，实际却物意外的好看。熟悉的开机铃声，熟悉亲切的诺基亚回来了，卡尔蔡司认证镜头也没让人失望，这个价位真的是越级体验了，一切满意
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-07 22:57--->手机挺轻，薄，颜色很好看，拍照也不错，情怀满分。王者总会460，希望下次升级可以弥补
5--->太空黑	6GB+128GB	x71	2019-07-06 22:13--->屏幕素质很好，在LCD屏幕中吊打蓝绿大厂和华为三星，当然不要跟OLED比色彩，但是LCD 屏幕对OLED的优势是不那么伤眼睛。摄像头蔡司认证照相很清晰，在无雾霾的晴朗的晚上可以拍星空。系统干净，接近原生。
5--->暮夜红	6GB+128GB	官方标配	2018-10-24 07:19--->昨天上午10.7分抢到的下午17.10分收到货风一样的速度。机器性能?非常非常清楚下载速度比电脑快刷刷的快。打开网页很快，其他功能后续在评。
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-19 20:58--->诺基亚，不仅是情怀，质量相当可靠，拍照效果很棒！用了三个月了，一点不卡，使用流畅方便。自带的安卓市场基本都能下到应用，没评论的应用少的问题
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-24 16:06--->之前购买了一台X6感觉电池耐用，系统好。又不贵。后面又想入手一台这次选择X7。收到货感觉非常不错，虽然不是崇拜外国人，但他们的手机手感不错，操作畅顺，不像三星手机用一段时间卡，这个不会。诺基亚的摄像头是没得说的，非常好。。
5--->沁夜黑	6GB+128GB	官方标配	2018-11-18 18:46--->诺基亚x6、x7手机质量非常好，十年前的旧诺基亚E71一直还可以使用电池寿命也长没有换过，新诺基亚无论从产品价格还是制作工艺和系统软件都很简单方便使用流畅是你值得拥有的产品，没有其它品牌手机的植入性~和所谓的定制，是专业的手机制造商ZEISS拍照方面也是可圈可点颜色真实，带着情怀和性价比入手买了两台希望以后还有更好的新机推出。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-18 12:03--->非常棒，诺基亚没有让我失望，夜拍功能秒杀苹果8，待机时间超长，目前整体很满意，给老妈也买了一台，希望诺基亚王者归来！
5--->沁夜黑	6GB+128GB	官方标配	2018-11-13 17:05--->双十一买的，有优惠发货也快，第三天就到手，手感很棒，运行快，诺基亚品质良心价，满足了我多年的诺基亚情怀
5--->幻夜银	6GB+64GB	官方标配	2018-12-01 14:45--->我对诺基亚真的是有情怀的，人生第一台品牌机就是诺基亚n8，那是我考上高中第一部手机。质量颜值都没得说，x7的铃声很响，我非常喜欢！！！！而且也很显档次！！！！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-01 22:23--->外观个人认为很惊艳！做工也好！今天刚到手，具体要通过使用一段时间再做评论！
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-13 15:36--->之前买了X6，X7比X6大一圈，手感不错，配清水壳很实用。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-08 08:15--->手机收到了，诺基亚手机是我心里的一个情结，果然没让我失望，外观漂亮，电池续航给力，还赠了运动蓝牙耳机，物超所值，希望诺基亚越做越好。
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-25 12:26--->发货速度很快，京东快递小哥服务好，为诺基亚情怀买单，单就手感而言，比7PLUS好，做工一如继往的精细。
5--->太空黑	6GB+128GB	2019-04-18 22:59--->昨天下的单今天就抢到了，手机还是一往如既的好事成诺鸡鸭，简洁的系统，然后快充也是做得非常扎实
5--->沁夜黑	6GB+128GB	官方标配	2018-12-10 12:03--->诺基亚一如既往的保持着没有一款手机让使用者失望过的神话，真心好用，就是拍照太清楚了，脸上的毛孔都能看到。。。。
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-24 18:41--->京东物流太赞了超喜欢。手机还是喜欢nokia。希望旗舰不要刘海屏。加油越做越好。手机用过再来评价如何。手感很好。不知道五摄如何好期待。
5--->太空黑	6GB+64GB	x71	2019-07-16 19:35--->为了情怀买的，但没有失望，相当满意，屏幕颜色特别柔和看和特别舒服，原生系统流畅，动画过度交互都特别好，UI设计也好看，原生系统用起来感觉比苹果舒服
5--->太空黑	6GB+64GB	x71	2019-06-08 19:41--->手机不错，怀旧品牌。厂家连保护屏幕和手机壳都省了，有待完善。现在国产手机出品都有送保护幕和手机保护壳的，这一点少一星吧。至于质量，刚到手未评。物流超快，上午9点多下单下午3点到，快递小哥顶住猛烈太阳30多度高温送货? ? ?
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-13 13:19--->外观很惊艳很漂亮，屏幕效果很好，拍照有自带美颜功能，其他还没用不清楚，帮朋友的妹妹买的，希望小孩子能好好读书。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-28 01:04--->主要是为了能推送安卓p 才买的。整体还不错，相对国内其他品牌的的定制系统，这个已经算很原生了。个人特别不喜欢定制ui 很乱七八糟一堆没用功能，玩安卓主要是原生
5--->暮夜红	6GB+128GB	官方标配	2018-11-05 00:10--->真的是很久没用诺基亚了，质量很好，速度也很快，买的超值，人脸识别有点光就能识别上
5--->太空黑	6GB+64GB	x71	2019-06-29 21:44--->已经用了一天，非常满意，之前买了两部7我和父亲用，实惠，关键是纯系统，用着清爽！大屏没用过，还不习惯，开机速度很快，操作也简单，总之体验很好！会一如既往的支持NOKIA！
5--->幻夜银	6GB+64GB	官方标配	2019-02-13 07:45--->手机很不错 各方面都可以 骁龙710的处理器 对于千元机来说还是很有性价比的
5--->太空黑	6GB+64GB	2019-04-21 10:09--->手机看着样子不错，用几天看看，然后再来追评，京东物流给力，快递哥哥路国营态度很好，赞
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-12 19:54--->东西很好，做工扎实，系统纯净很流畅，京东物流很快！用一段时间再追加评测…
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-05 19:38--->支持诺基亚，价格合理，功能齐全，用了两天感觉很好用，这个新手机我喜欢。
5--->太空黑	6GB+64GB	x71	2019-06-16 17:05--->新机子手感很好，原生系统非常流畅啊，用起来很爽！夜景，广角镜头都还可以，日常够用了！用诺基亚很多年了，一直都很喜欢这个品牌，希望能诺基亚越做越好！
5--->太空黑	6GB+128GB	x71	2019-05-07 12:26--->很精致，抓握手感也不错。手机厚度刚好。细节做的都很好，不知道还是不是以前用过的摔不坏的诺基亚手机。才开始用后面在追评吧
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-19 11:44--->性价比超高的一款手机，诺基亚质量杠杠的，再次雄起啦，非常满意京东的物流
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-25 11:34--->自营送货很快，手机安卓原生系统纯净流畅，目前很满意。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-02 09:18--->物流神一样的速度，上午十点多下的单下午四点就收到货了。快递小哥服务也很热情。希望京东越做越好。诺基亚X7当打开包装的时候眼前一亮，这个logo个作工还和以前一样很扎实。手机的握持感还行，游戏运行还算流畅。这个价位值了。
5--->太空黑	6GB+128GB	x71	2019-07-12 01:11--->给爸爸买的手机，功能很多用不上的，他比较对诺基亚有情怀，应该是新品，京东自营放心，还好没有问题
1--->太空黑	6GB+64GB	x71	2019-07-11 21:09--->手机不能双卡使用，联通和移动，只能使用其中一个，另外一个完全没有信号，找客服，客服只有一个智能的机器人答复，根本无法解决问题，差评，绝对的差评！！！！！
5--->太空黑	6GB+64GB	x71	2019-07-11 16:55--->很漂亮我很喜欢哦，颜色也很不错，就是买的时候记得
5--->太空黑	6GB+64GB	x71	2019-07-11 15:38--->此款手机识别不了京东卖的的京东通信卡
4--->太空黑	6GB+64GB	x71	2019-07-11 00:37--->用了一个月后才评价的 总体来说不止这个价钱 660的系统终归是不行 用起来热的很快 尤其是摄像头处 钢化膜买不到合适的 白边大 掉价不是很厉害 比小米华为强 但是有点小众 保值费劲 续航还算可以 总体来说为诺基亚买单感觉值得
5--->太空黑	6GB+64GB	x71	2019-07-10 22:43--->老品牌，性价比很高，建议购买。同样的性价比，这样的价格真的非常实惠。
5--->太空黑	6GB+64GB	x71	2019-07-10 21:33--->老牌子手机，质量好。
5--->太空黑	6GB+64GB	x71	2019-07-10 17:14--->太喜欢了，手机用来用去还是诺基亚好(?▽?)希望越来越好，重创辉煌
4--->太空黑	6GB+64GB	x71	2019-07-10 13:33--->还可以吧，就是充电器用别的品牌的无法正常充电，不知道是不是质量问题还是机子本身设置的就是这样，不知道是不是因为处理器的问题，打开网页，显示图片的时候有些卡顿！我已经操作退货了
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-24 16:25--->手机不错做工很不错，就先说这么多等过一段时间在看手机是用情况
5--->幻夜银	6GB+64GB	官方标配	2018-11-06 09:38--->拿到真机个人感觉挺不错的，手感很好,流畅度算不上丝滑,但也能接受；面部解锁偶尔不灵,期待后续更新完善。续航、拍照和通话质量都很不错。
5--->沁夜黑	6GB+128GB	官方标配	2018-10-28 18:52--->系统非常流畅，做工也跟完美，游戏效果也很好，难得的是没有捆绑多余的APP，手机届一股清流！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-28 14:38--->漫长的缺货等待终于等来了期盼已久的诺基亚新款，诺基亚厚重的机身，沉甸甸的手感一如既往的秉承着传统诺基亚的质感。运行流畅，画质清晰，像素清晰，外观金属边框看着很舒服。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-05 17:26--->手机收到了很漂亮，运行正常，这是自己买的第三部诺基亚给同事了，给力！
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-25 09:04--->手机还可以，质感很好的，为啥什么都没送，耳机也没有，手机壳钢化膜更不用说了
5--->太空黑	6GB+64GB	2019-04-20 11:35--->手机不错，跟情怀没关系，比华为好很多，现在感觉华为很流氓了。没有乱七八糟的垃圾软件，也没有什么预置的什么花系统。很干净。手感和质感比华为也好很多。这个价格这个配置运行起来的速度也很不错，对于安卓来讲，比其他机好多了。值得买。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-04 06:49--->手机运行速度流畅，外观漂亮，性价比高，非常满意，京东物流非常快
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-10 12:39--->手机到手了，外观设计没得说很漂亮，用了几天感觉运行速度挺快的。
5--->太空黑	6GB+128GB	2019-04-25 22:21--->图片是日常的拍摄效果，没有进行修饰，手机整体运行很流畅，软硬件综合来说很协调，因为日常商务，上网都完全没问题，安卓系统优化的也算到位，超过多数同价位品牌，甚至比一些3000多的机型使用感觉还要好，其实屏幕是最大亮点，到手你就会感觉到什么是品质的传承。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-19 13:31--->诺基亚品质不用考虑，很满意。外观不错，使用起来非常流畅。值得信赖
5--->幻夜银	6GB+64GB	官方标配	2018-11-07 19:49--->难舍的情怀诺基亚又回来了～使用很顺畅相信还是会做回手机里的老大地位；幻影银颜色真的很赞上档次
5--->太空黑	6GB+64GB	x71	2019-05-27 10:03--->京东的快递，非常快；诺基亚的手机，挺好。x71，外观漂亮，手感顺滑，系统干净，屏幕细致，比手中诺基亚6好很多，希望能再和6一样，战两三年！
5--->太空黑	6GB+64GB	x71	2019-05-05 20:04--->我前天看手机想看诺基亚，妹妹说现在垃圾，我就买360手机，感觉不错，今天，我男友手机坏了，他看诺基亚，买了，一对比，太好了，很棒，我后悔买360了
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-10 14:56--->性价比一流，直接更新到安卓9.0，流畅，电池超耐用
5--->幻夜银	6GB+64GB	官方标配	2018-12-03 08:46--->虽说是情怀之选，但是性价比也是极高的，手机原生系统，干净利落，反应极快，操作简单，必须好评！
5--->幻夜银	6GB+64GB	官方标配	2018-11-03 20:47--->诺基亚回来了，做工很好，很喜欢，系统干净，原生一直最爱，拍照叫一个字爽
5--->沁夜黑	6GB+128GB	官方标配	2018-12-21 09:25--->到手很惊艳，屏幕很大，机身很薄，开机使用速度也很流畅，即使下了很多app,都没有运行缓慢的情况，居然比我之前的苹果8好用，去香港过关时能接收到4G信号，意外惊喜，价格却只有果的一半，值得入手
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-04 20:20--->王者归来，手机性价比高，很好用，没有出现之前评论中死机等现象.?
5--->太空黑	6GB+128GB	x71	2019-05-24 20:09--->手机上手后，感觉就是惊喜，使用体验和屏幕效果都超出预期。而且对诺基亚还是有种情怀在，很喜欢诺基亚的工业水平，手机质量有保障。
5--->暮夜红	6GB+128GB	官方标配	2018-10-30 12:18--->诺基亚手机拿到手后惊呆了，太漂亮，不愧是大品牌，手机中精品。
5--->太空黑	6GB+128GB	x71	2019-07-05 16:02--->这手机真的很不错，屏点比很高，系统流畅，显示色彩丰富逼真，拍照片特别清晰，看来诺基亚要崛起了
5--->暮夜红	6GB+128GB	官方标配	2018-10-25 21:35--->今天刚收到系统很干净，挺好，以前用6的时候就很好呦
5--->太空黑	6GB+64GB	x71	2019-07-09 18:32--->买回来迫不及待的砸了两个核桃，质量非常好，满意，666！
5--->太空黑	6GB+64GB	x71	2019-06-09 14:06--->屏占比大，握持感很好，单手操作也没有问题，相机象素高拍照效果日常用很OK系统运行流畅。
5--->暮夜红	6GB+128GB	官方标配	2018-10-27 09:24--->原谅我原来碎成渣的镜头拍不清楚～上手体验超好～～拍照，音乐一如既往的优秀～还有就是京东物流的神速！！！喜欢！！
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-24 09:12--->机器不错，没有那么多自带的垃圾。带的几个软件也可以卸载。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-22 21:51--->很好很强大，性价比很高，诺基亚的情怀，总体不错，性价比很高的中档机。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-31 14:57--->试用了两天过来评价，手机速度666，这个价位虽然不熟最高提的性价比，但是很少很好用的，镜头非常清晰，前后都很赞，原生的系统确实比较好，安装附带的没用的软件很少，比华为小米强太多。如果对比镜头的功能，比360的n7要强很多。
5--->沁夜黑	6GB+128GB	官方标配	2018-11-14 20:01--->感觉还不错，我对安卓系统要求不高，流畅就行这点诺基亚做的还不错，没有感觉网友说的很简陋，我是冲着骁龙710和大电池续航去的。目前手机行入手，很流畅，续航还不清楚，用后再评价。
5--->太空黑	6GB+64GB	x71	2019-05-05 22:45--->感觉挺好的。外观好看，性能也可以，里面的功能也很好，老公拿到就下载了吃鸡游戏一点也不卡。而且快递小哥服务态度真的很好，我说急用他马上就给我送到了，给快递小哥大赞
5--->太空黑	6GB+64GB	x71	2019-06-02 15:53--->儿童节买给我爸的礼物，资深儿童。手变多了，信仰升级原生安卓 系统没的说做工也比那些什么什么强一个字 舒服屏幕很舒服，护眼
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-17 00:54--->帮朋友买的 本来以为手机很大到手之后 手握着挺舒服的 手感不错没什么毛病 玩游戏很流畅 拍照效果也挺好的?
5--->太空黑	6GB+64GB	x71	2019-07-11 16:55--->很漂亮我很喜欢哦，颜色也很不错，就是买的时候记得
5--->沁夜黑	6GB+128GB	官方标配	2019-01-15 19:05--->特意用了两天才评价，打开盒子的那一瞬间就很激动，很漂亮，手感很好，熟悉的开机铃声。没有网上评论的那么差，感觉很给力。
5--->太空黑	6GB+128GB	x71	2019-06-25 13:41--->经过一个星期的使用，感觉不错，系统真的很干净！任何附加程序都可以卸载，还我一片清静之机?
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-25 07:27--->那些年没有用过诺基亚，一直用摩托罗拉，后来诺基亚消沉了，总感觉自己欠诺基亚一部手机，现在终于有机会还债了，手机很漂亮，性价比很高，京东物流也很给力！
5--->太空黑	6GB+128GB	x71	2019-05-02 20:25--->手机很好，京东的有点晕，几千块的手机，连气泡袋都不包一下
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-19 20:33--->屏幕很好，蛮好用的，待机很长很长，速度也蛮快的
5--->太空黑	6GB+64GB	x71	2019-05-27 13:35--->手机很好，不光是情怀，还有冲照相去的，对于一不玩游戏的人来说，660绝对够用，原生系统很棒，流畅加无广告
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-18 09:06--->手机非常漂亮，使用感受很好，这个价位性价比超高的存在了。
5--->太空黑	6GB+64GB	x71	2019-05-18 22:13--->手感很棒。物流速度超级快，赞一个.原生系统果然很好，显示效果果然很棒，拍照也很不错，很成熟的顺手，非常喜欢很不错
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-31 20:37--->用了一个星期了，感觉很不错，原生系统很好，诺基亚挺你
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-28 10:16--->舒服，买了几个了，X5，X6，X7，不为情怀买单，为手感和颜值！信号超级棒！
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-01 16:47--->运行速度飞快，屏幕显示细腻，照片非常清晰，不亏是诺基亚。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-18 20:47--->诺基亚X7.非常好用.王者归来！系统干净.高清镜头.
5--->太空黑	6GB+128GB	x71	2019-06-14 08:51--->很不错的手机，速度快，操作方便，拍照效果特别好
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-21 23:17--->男朋友买了之后，看着挺好的，也给爸爸买了，nice，超级满意
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-05 20:04--->帮亲戚买的，收到用了两天还可以，照相给力，流畅性很不错，
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-13 14:57--->隔夜到，屏幕显示很好，蔡司认证镜头和专业相机模式没有以前WP手机上的给力了。。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-09 09:53--->运气速度很快，反应灵敏！屏幕显示好！诺基亚一代6首发，现在换x7
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-04 08:40--->屏幕大小刚好，一支手很好操作。像素白天很清晰，晚上暗一点点。系统操作很流畅，反应也很快。音质也挺好
5--->太空黑	6GB+64GB	x71	2019-05-25 11:34--->非常不错 人生第二部诺基亚手机，挺惊艳的比我对象p30感觉好
5--->太空黑	6GB+128GB	2019-04-25 23:48--->诺者归来，亲呼，叹呼。很流畅的机制，值得表扬，继续努力。支持
5--->暮夜红	6GB+128GB	官方标配	2018-11-04 22:39--->用了一段时间才来评价，手机很流畅，物流超快，下单到收到货仅一天就到了，电池也比较耐用，直得购买
5--->幻夜银	6GB+64GB	官方标配	2018-12-13 20:23--->快递速度超快，当天下单第二天就收到了，手机真心不错，电池很耐用，手反应很快其它的用用在说！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-05 11:49--->诺基亚的手机不用说都知道特别耐用，X7薄厚正好，拿着手感好，屏幕清楚，电池耐用，打王者一点都不卡！
5--->太空黑	6GB+64GB	x71	2019-04-30 16:48--->这是入得第二个诺基亚了，x6和7现在都在用，性价比非常高！从无卡顿现象。现在入什么苹果那些就是为了个情怀或是面子了，实际上很多品牌手机的性能，真的不输给苹果
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-31 21:51--->刚到手，就打开了，非常喜欢，内存运行流畅，色彩还原好，像素清晰可见！！还有待熟悉一段时间。
5--->幻夜银	6GB+64GB	官方标配	2018-12-06 10:27--->这是给老爸买的，要求没有那么高，只要操作流畅，声音大点，拍照过得去就行了。结果比想象的更好，老人不打游戏，配置绰绰有余，外观也比较低调阳刚。喜欢它的双击亮屏和锁屏功能，对老人来说这比指纹解锁更方便实用。看了他的拍照顿时觉得自己的手机…总之看得出老爸很喜欢，这就够了。各位心态要摆正，不能和旗舰机比。
5--->太空黑	6GB+128GB	x71	2019-04-30 10:43--->原生系统相当流畅，白名单模式压后台也很给力，而且用酷安装一下Play商店就可以无缝开启Google服务了，美滋滋
5--->太空黑	6GB+64GB	x71	2019-06-20 23:52--->非常好用，外观简约，速度也快，性价比高。I·M ANOKA FAN.
5--->沁夜黑	6GB+128GB	官方标配	2018-11-24 10:28--->很不错，果然属于良心之作。日常使用妥妥的够用，很流畅，屏幕显示很细腻，拍照很好，续航也OK。手感OK，唯一的遗憾要是有个指示灯就好了，比如有未接来电未读短信的，最好能在屏幕上方有个小灯闪烁，一看就知道，不然现在每次拿出手机都要解锁确定一下有没有电话或者~。总体还是很好的一部手机，值得推荐！
5--->暗夜蓝	6GB+64GB	官方标配	2019-03-09 12:29--->原生系统，真是好啊，不玩游戏，日常用非常棒，相机超级好用，没有广告的日子都有点不习惯了，哈哈哈
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-23 20:11--->手机很好，没想到，我刚下完单，这颜色就没货了，运气真好，电池很耐用，从早上7到晚上8:10了，还有25%的电量！很不错
5--->沁夜黑	6GB+128GB	官方标配	2018-10-25 17:50--->这一款诺基亚是真的好，全面屏手感也不错，玩游戏也很顺 很棒
5--->沁夜黑	6GB+128GB	官方标配	2019-01-02 13:12--->给老爸买的，很合适非常好用！但买完就降价了，无所谓了！
5--->沁夜黑	6GB+128GB	官方标配	2018-12-18 20:09--->速度很快哈，拍照很清晰，非常不错，期待诺基亚重新崛起。
5--->沁夜黑	6GB+128GB	官方标配	2018-12-16 08:16--->非常流畅，拍照很清晰！夜拍很赞，蔡司镜头，值这个价！
5--->太空黑	6GB+64GB	x71	2019-05-28 22:39--->机子挺好用的，相信诺基亚，拍照很厉害，卡尔蔡司的镜头
5--->太空黑	6GB+128GB	x71	2019-06-26 06:04--->大牌手机，包装精美，很有怀旧青春入门机时的感觉！卡尔蔡司认证的摄像头拍照相当清晰，夜里也非常清晰！喜欢～
5--->沁夜黑	6GB+128GB	官方标配	2018-11-10 22:52--->本人铁杆诺粉 ，这款手机配置性价比比较高，拍摄效果非常好，续航能力很强，用了十来天才评论的
5--->暗夜蓝	6GB+128GB	官方标配	2018-10-23 20:38--->不错，真心的不错，所有设置非常的贴心，返回键可以设置成三星的样式。非常满意。。。2000多。。。值得入手。拍照。。。确实棒。
5--->太空黑	6GB+64GB	x71	2019-06-10 07:06--->很好用，我不玩游戏，看视频也不容易发烫，电池续航也可以，充电也很快，值得拥有！
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-02 14:55--->一次很满意的购物，当晚抢的，第二天就到了。这款手机关注了很久，用后很如愿，系统干净、流畅，手机做工精细，值得拥有。既有情怀的因素，又有实实在在的品质。
5--->暗夜蓝	6GB+64GB	官方标配	2018-11-12 12:20--->手机手感非常舒服！给我家老婆买的她喜欢得不得了~诺基亚拍照清楚没话说
5--->太空黑	6GB+64GB	2019-04-20 06:16--->刚出就入手了一部，手感和外观很好，一直用诺的手机。
5--->太空黑	6GB+64GB	x71	2019-06-30 15:39--->手机外观很惊艳，操作性能也好。对于不怎么玩游戏我，足够了。而且还能支持内存扩展，是个不错的选择。
5--->太空黑	6GB+64GB	x71	2019-07-27 19:13--->造型超喜欢，手感非常棒拍照中规中矩屏幕素质很好唯一的缺点就是这性能太让人捉急了。。。。
5--->太空黑	6GB+64GB	2019-04-18 22:05--->一直信赖的品牌，到货后感觉外观设计和做工都很好，其它正在试用中
5--->太空黑	6GB+128GB	x71	2019-06-03 17:30--->我十年前就已经用这个品牌了一句话直得拥有，直量很好，物流配送很快，服务态度很好?
5--->太空黑	6GB+64GB	x71	2019-05-23 23:08--->外表大气，照相不错。对于不玩手游的人真是非常合适。可惜连个塑料壳也不送，大家不要忘了买哦。
5--->太空黑	6GB+64GB	2019-04-17 22:02--->上手体验很有质感，屏幕和拍照是亮点。满意。
5--->太空黑	6GB+64GB	x71	2019-05-20 21:02--->刚开始使用，是一款比较均衡的手机，因为本人很少玩游戏，所以完全够用，另外不排除情怀购机。
5--->太空黑	6GB+64GB	x71	2019-07-13 19:48--->收到宝贝后很惊讶，做工精致细腻，屏幕清晰度高，不愧是诺基亚，系统干净利落，性价比也不错，值得为情怀买单，从人生的第一部手机开始一直都信赖诺基亚，还好现在终于王者归来啦，然后快递速度态度好…
5--->太空黑	6GB+64GB	2019-04-18 13:25--->诺基亚新出的手机已收到。京东快递速度超快，大赞。老公看了很喜欢，爱不释手!
